product_id,product_name,category,price,stock_quantity
1,ワイヤレスイヤホン,家電,4980,150
2,USBケーブル Type-C,家電,890,500
3,モバイルバッテリー,家電,3200,200
4,スマホケース,アクセサリー,1500,300
5,保護フィルム,アクセサリー,980,400
6,Bluetoothスピーカー,家電,6800,80
7,ノートPC スタンド,PC周辺機器,3500,120
8,メカニカルキーボード,PC周辺機器,12800,60
9,マウスパッド,PC周辺機器,1200,250
10,ワイヤレスマウス,PC周辺機器,2980,180
11,HDMIケーブル,家電,1100,350
12,ウェブカメラ,PC周辺機器,5400,90
13,USB ハブ,PC周辺機器,2200,160
14,ポータブルSSD 500GB,PC周辺機器,7800,70
15,スマートウォッチ,家電,15800,45
16,充電器 30W,家電,2400,220
17,タブレットスタンド,アクセサリー,1800,190
18,イヤホンケース,アクセサリー,680,600
19,画面クリーナー,アクセサリー,490,800
20,ケーブルクリップ,アクセサリー,350,1000
